"id","field_name",,,
481,"AUTOMOBILE TESTER",,,
482,"AUTOMOBILE UPHOLSTERER",,,
483,"AUTOMOBILE WRECKER",,,
484,"AUTOMOBILE-ACCESSORIES INSTALLER",,,
485,"AUTOMOBILE-BODY CUSTOMIZER",,,
486,"AUTOMOBILE-BODY REPAIRER",,,
487,"AUTOMOBILE-BODY-REPAIRER HELPER",,,
488,"AUTOMOBILE-BUMPER STRAIGHTENER",,,
489,"AUTOMOBILE-CLUB-SAFETY-PROGRAM COORDINATOR",,,
490,"AUTOMOBILE-MECHANIC APPRENTICE",,,
491,"AUTOMOBILE-MECHANIC HELPER",,,
492,"AUTOMOBILE-RADIATOR MECHANIC",,,
493,"AUTOMOBILE-REPAIR-SERVICE ESTIMATOR",,,
494,"AUTOMOBILE-SEAT-COVER INSTALLER",,,
495,"AUTOMOBILE-SEAT-COVER-AND-CONVERTIBLE-TOP INSTALLER",,,
496,"AUTOMOBILE-SELF-SERVE-SERVICE-STATION ATTENDANT",,,
497,"AUTOMOBILE-SERVICE-STATION ATTENDANT",,,
498,"AUTOMOBILE-SERVICE-STATION MECHANIC",,,
499,"AUTOMOBILE-UPHOLSTERER APPRENTICE",,,
500,"AUTOMOTIVE ENGINEER",,,
501,"AUTOMOTIVE TECHNICIAN, EXHAUST EMISSIONS",,,
502,"AUTOMOTIVE-COOLING-SYSTEM DIAGNOSTIC TECHNICIAN",,,
503,"AUTOMOTIVE-GENERATOR-AND-STARTER REPAIRER",,,
504,"AUTOMOTIVE-MAINTENANCE-EQUIPMENT SERVICER",,,
505,"AUTOMOTIVE-TIRE TESTER",,,
506,"AUTOMOTIVE-TIRE-TESTING SUPERVISOR",,,
507,"Auxiliary Nurse",,,
508,"AUXILIARY-EQUIPMENT OPERATOR",,,
509,"AUXILIARY-EQUIPMENT TENDER",,,
510,"AVIATION SUPPORT EQUIPMENT REPAIRER",,,
511,"AVIONICS TECHNICIAN",,,
512,"AWNING HANGER",,,
513,"AWNING MAKER-AND-INSTALLER",,,
514,"AWNING-FRAME MAKER",,,
515,"AWNING-HANGER HELPER",,,
516,"BABBITTER",,,
517,"BABY-STROLLER AND WHEELCHAIR RENTAL CLERK",,,
518,"BACK FEEDER, PLYWOOD LAYUP LINE",,,
519,"BACK MAKER, LOCKSTITCH",,,
520,"BACK PADDER",,,
521,"BACK TENDER",,,
522,"BACK TENDER, CLOTH PRINTING",,,
523,"BACK TENDER, INSULATION BOARD",,,
524,"BACK TENDER, PAPER MACHINE",,,
525,"BACK TUFTER",,,
526,"BACK WASHER",,,
527,"BACKING-IN-MACHINE TENDER",,,
528,"BACK-SHOE WORKER",,,
529,"BACK-STRIP-MACHINE OPERATOR",,,
530,"Bacon Curer",,,
531,"BAG CUTTER",,,
532,"BAG LINER",,,
533,"BAG LOADER",,,
534,"BAG PRINTER",,,
535,"BAG REPAIRER",,,
536,"BAG SEWER",,,
537,"BAGGAGE CHECKER",,,
538,"BAGGAGE HANDLER",,,
539,"BAGGAGE PORTER, HEAD",,,
540,"BAGGAGE-AND-MAIL AGENT",,,
541,"BAGGER",,,
542,"BAGGING SALVAGER",,,
543,"BAG-MACHINE OPERATOR",,,
544,"BAG-MACHINE-OPERATOR HELPER",,,
545,"BAILIFF",,,
546,"BAKER",,,
547,"BAKER APPRENTICE",,,
548,"BAKER HELPER",,,
549,"BAKER, HEAD",,,
550,"BAKER, PIZZA",,,
551,"BAKER, SECOND",,,
552,"BAKER, TEST",,,
553,"Bakery Assistant",,,
554,"Bakery Manager",,,
555,"Bakery Operator",,,
556,"BAKERY SUPERVISOR",,,
557,"BAKERY WORKER, CONVEYOR LINE",,,
558,"BAKERY-MACHINE MECHANIC",,,
559,"BAKERY-MACHINE-MECHANIC SUPERVISOR",,,
560,"BALANCE ASSEMBLER",,,
561,"BALANCE RECESSER",,,
562,"BALANCE TRUER",,,
563,"BALANCE-BRIDGE ASSEMBLER",,,
564,"BALANCER, SCALE",,,
565,"BALANCING-MACHINE OPERATOR",,,
566,"BALANCING-MACHINE SET-UP WORKER",,,
567,"BALCONY WORKER",,,
568,"BALE SEWER",,,
569,"BALER",,,
570,"BALE-TIE-MACHINE OPERATOR",,,
571,"BALING-MACHINE TENDER",,,
572,"BALL ASSEMBLER",,,
573,"BALL SORTER",,,
574,"BALL-FRINGE-MACHINE OPERATOR",,,
575,"BALLING-MACHINE OPERATOR",,,
576,"BALL-MACHINE OPERATOR",,,
577,"BALL-MILL OPERATOR",,,
578,"BALLOON DIPPER",,,
579,"BALLOON MAKER",,,
580,"Balloonist",,,
581,"BALLPOINT PEN CARTRIDGE TESTER",,,
582,"BALLPOINT-PEN-ASSEMBLY-MACHINE OPERATOR",,,
583,"BALL-TRUING-MACHINE OPERATOR",,,
584,"BALL-WARPER TENDER",,,
585,"BAND ATTACHER",,,
586,"BAND BUILDER",,,
587,"BAND CUTTER",,,
588,"BAND MAKER",,,
589,"BAND SALVAGER",,,
590,"BAND TUMBLER",,,
591,"BAND-AND-CUFF CUTTER",,,
592,"BANDER",,,
593,"BANDER, HAND",,,
594,"BANDER-AND-CELLOPHANER HELPER, MACHINE",,,
595,"BANDER-AND-CELLOPHANER, MACHINE",,,
596,"BANDING-MACHINE OPERATOR",,,
597,"BAND-MACHINE OPERATOR",,,
598,"BANDOLEER PACKER",,,
599,"BANDOLEER STRAIGHTENER-STAMPER",,,
600,"BAND-REAMER-MACHINE OPERATOR",,,
601,"BAND-SAW OPERATOR",,,
602,"BAND-SAWING-MACHINE OPERATOR",,,
603,"BAND-SCROLL-SAW OPERATOR",,,
604,"BAND-TOP MAKER",,,
605,"BANK BOSS",,,
606,"Bank Clerk",,,
607,"Bank Manager",,,
608,"Bank Messenger",,,
609,"BANKING PIN ADJUSTER",,,
610,"BANK-NOTE DESIGNER",,,
611,"Baptist Minister",,,
612,"BAR AND FILLER ASSEMBLER",,,
613,"BAR ATTENDANT",,,
614,"BAR EXAMINER",,,
615,"Bar Manager",,,
616,"Bar Steward",,,
617,"BARBED-WIRE-MACHINE OPERATOR",,,
618,"BARBER",,,
619,"BARBER APPRENTICE",,,
620,"BARGE CAPTAIN",,,
621,"BARKER",,,
622,"BARKER OPERATOR",,,
